query_index,query_path,query_pid,transition,baseline_top1_path,baseline_top1_pid,semantic_top1_path,semantic_top1_pid
694,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0203/0203_012_05_0303morning_1104_0.jpg,203,correct_to_wrong,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0203/0203_008_07_0303morning_1088_0.jpg,203,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0134/0134_013_05_0303morning_0700_0.jpg,134
713,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0208/0208_018_05_0303morning_1174_0_ex.jpg,208,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0001/0001_022_05_0303morning_0032_0.jpg,1,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0208/0208_009_07_0303morning_1156_2_ex.jpg,208
815,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0235/0235_008_01_0303morning_1338_3.jpg,235,correct_to_wrong,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0235/0235_028_05_0303morning_1369_0_ex.jpg,235,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\2453/2453_002_01_0114morning_1046_4.jpg,2453
885,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0255/0255_005_07_0303morning_1482_0_ex.jpg,255,correct_to_wrong,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0255/0255_017_05_0303morning_1501_0_ex.jpg,255,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0372/0372_037_14_0303noon_0794_1.jpg,372
1002,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0289/0289_012_07_0303morning_1672_1_ex.jpg,289,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\1382/1382_003_01_0113noon_0820_0_ex.jpg,1382,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0289/0289_009_01_0303morning_1677_2_ex.jpg,289
1109,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0326/0326_012_07_0303noon_0040_2_ex.jpg,326,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\1116/1116_010_07_0113morning_1252_0_ex.jpg,1116,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0326/0326_019_14_0303noon_0280_4_ex.jpg,326
1190,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0347/0347_021_09_0303noon_0330_0.jpg,347,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\1546/1546_002_13_0113noon_1454_0.jpg,1546,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0347/0347_005_13_0303noon_0165_3_ex.jpg,347
1227,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0355/0355_012_11_0303noon_0263_2.jpg,355,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\1497/1497_015_13_0113noon_0930_1.jpg,1497,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0355/0355_002_13_0303noon_0265_1.jpg,355
1244,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0360/0360_020_07_0303noon_0396_2.jpg,360,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0336/0336_011_07_0303noon_0132_5.jpg,336,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0360/0360_014_06_0303noon_0393_0.jpg,360
1280,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0366/0366_050_11_0303afternoon_1665_0.jpg,366,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0699/0699_063_08_0303afternoon_0485_2_ex.jpg,699,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0366/0366_056_08_0303afternoon_1640_0.jpg,366
1303,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0373/0373_066_13_0303afternoon_0734_2_ex.jpg,373,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\2283/2283_002_13_0302afternoon_0877_1.jpg,2283,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0373/0373_075_11_0303afternoon_0732_0.jpg,373
1312,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0373/0373_025_13_0302afternoon_1472_1_ex.jpg,373,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\2283/2283_003_13_0302afternoon_0877_1_ex.jpg,2283,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0373/0373_007_11_0303noon_0520_1.jpg,373
1362,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0384/0384_014_06_0303noon_0716_0.jpg,384,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\1517/1517_015_12_0113noon_0923_0.jpg,1517,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0384/0384_027_07_0303noon_0723_1_ex.jpg,384
1420,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0400/0400_007_13_0303noon_1074_3_ex.jpg,400,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0794/0794_036_04_0303afternoon_1165_1_ex.jpg,794,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0400/0400_014_11_0303noon_1067_3_ex.jpg,400
1542,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0425/0425_007_11_0303noon_1608_0_ex.jpg,425,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\1604/1604_002_13_0113afternoon_0601_0_ex.jpg,1604,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0425/0425_002_13_0303noon_1614_1.jpg,425
1561,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0432/0432_021_07_0303noon_1736_4.jpg,432,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\2150/2150_023_07_0302afternoon_1516_0.jpg,2150,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0432/0432_014_06_0303noon_1726_1.jpg,432
1594,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0440/0440_003_14_0303afternoon_0075_3_ex.jpg,440,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0666/0666_060_07_0303afternoon_0148_0_ex.jpg,666,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0440/0440_027_01_0303afternoon_0068_4_ex.jpg,440
1620,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0446/0446_005_14_0303afternoon_0106_3_ex.jpg,446,correct_to_wrong,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0446/0446_015_03_0303afternoon_0118_2.jpg,446,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\1571/1571_004_11_0113noon_1656_0.jpg,1571
1626,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0448/0448_005_14_0303afternoon_0111_0_ex.jpg,448,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\2121/2121_002_14_0302afternoon_1291_1.jpg,2121,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0448/0448_030_01_0303afternoon_0107_2.jpg,448
1693,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0466/0466_006_14_0303afternoon_0204_1.jpg,466,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\2095/2095_012_01_0302afternoon_1043_2.jpg,2095,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0466/0466_031_01_0303afternoon_0204_3.jpg,466
1715,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0469/0469_090_07_0303afternoon_0978_1_ex.jpg,469,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0763/0763_017_11_0303afternoon_0944_1.jpg,763,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0469/0469_064_06_0303afternoon_1009_0_ex.jpg,469
1716,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0469/0469_065_06_0303afternoon_1010_0.jpg,469,correct_to_wrong,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0469/0469_091_07_0303afternoon_0979_4.jpg,469,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0702/0702_110_04_0303afternoon_0605_0.jpg,702
1723,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0471/0471_002_14_0303afternoon_0242_0.jpg,471,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0546/0546_003_14_0303afternoon_0832_0_ex.jpg,546,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0471/0471_026_01_0303afternoon_0234_0.jpg,471
1724,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0471/0471_003_14_0303afternoon_0242_0_ex.jpg,471,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0473/0473_002_14_0303afternoon_0257_3.jpg,473,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0471/0471_026_01_0303afternoon_0234_0.jpg,471
1744,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0476/0476_023_01_0303afternoon_0296_0_ex.jpg,476,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0488/0488_028_01_0303afternoon_0384_0_ex.jpg,488,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0476/0476_006_14_0303afternoon_0297_0.jpg,476
1746,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0476/0476_001_14_0303afternoon_0294_0_ex.jpg,476,correct_to_wrong,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0476/0476_027_01_0303afternoon_0298_0_ex.jpg,476,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0451/0451_007_14_0303afternoon_0123_1_ex.jpg,451
1747,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0477/0477_024_01_0303afternoon_0291_0.jpg,477,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0476/0476_027_01_0303afternoon_0298_0_ex.jpg,476,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0477/0477_005_14_0303afternoon_0302_0_ex.jpg,477
1750,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0477/0477_023_01_0303afternoon_0290_0_ex.jpg,477,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\1055/1055_025_15_0113morning_0833_0.jpg,1055,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0477/0477_005_14_0303afternoon_0302_0_ex.jpg,477
1764,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0481/0481_009_14_0303afternoon_0345_0_ex.jpg,481,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\2137/2137_017_01_0302afternoon_1467_0.jpg,2137,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0481/0481_029_01_0303afternoon_0351_4.jpg,481
1793,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0485/0485_003_14_0303afternoon_0379_2_ex.jpg,485,correct_to_wrong,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0485/0485_014_07_0303afternoon_0355_3.jpg,485,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\2553/2553_020_14_0114morning_1766_2_ex.jpg,2553
1800,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0487/0487_017_01_0303afternoon_0376_1.jpg,487,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0488/0488_031_01_0303afternoon_0386_0.jpg,488,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0487/0487_002_14_0303afternoon_0384_0.jpg,487
1803,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0488/0488_029_01_0303afternoon_0385_0.jpg,488,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0570/0570_022_01_0303afternoon_1124_2.jpg,570,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0488/0488_007_14_0303afternoon_0389_0_ex.jpg,488
1849,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0500/0500_029_01_0303afternoon_0474_0_ex.jpg,500,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\1734/1734_004_07_0302morning_0298_3.jpg,1734,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0500/0500_005_14_0303afternoon_0476_0_ex.jpg,500
1854,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0501/0501_026_07_0303afternoon_0469_1.jpg,501,correct_to_wrong,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0501/0501_023_05_0303afternoon_0479_0.jpg,501,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0846/0846_089_15_0303afternoon_1548_2.jpg,846
1884,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0506/0506_035_01_0303afternoon_0557_0_ex.jpg,506,correct_to_wrong,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0506/0506_004_14_0303afternoon_0559_1.jpg,506,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\2015/2015_034_01_0302afternoon_0313_4_ex.jpg,2015
1935,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0521/0521_013_03_0303afternoon_0661_0.jpg,521,correct_to_wrong,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0521/0521_005_14_0303afternoon_0644_1_ex.jpg,521,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0283/0283_017_05_0303morning_1666_4.jpg,283
1988,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0539/0539_008_14_0303afternoon_0785_2.jpg,539,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0594/0594_004_14_0303afternoon_1196_0.jpg,594,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0539/0539_015_07_0303afternoon_0758_3_ex.jpg,539
2020,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0549/0549_008_14_0303afternoon_0840_0.jpg,549,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0496/0496_004_14_0303afternoon_0470_1.jpg,496,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0549/0549_016_07_0303afternoon_0812_4.jpg,549
2036,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0555/0555_046_01_0302afternoon_1706_3.jpg,555,correct_to_wrong,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0555/0555_043_07_0302afternoon_1660_4.jpg,555,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\2495/2495_029_14_0114morning_1363_0.jpg,2495
2037,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0555/0555_047_01_0302afternoon_1706_3_ex.jpg,555,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\2334/2334_058_14_0302afternoon_1717_4_ex.jpg,2334,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0555/0555_044_07_0302afternoon_1660_4_ex.jpg,555
2048,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0557/0557_091_07_0303afternoon_0226_2.jpg,557,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\1151/1151_063_07_0113morning_0126_1_ex.jpg,1151,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0557/0557_045_12_0303afternoon_0212_0_ex.jpg,557
2051,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0557/0557_159_14_0302afternoon_1215_3.jpg,557,correct_to_wrong,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0557/0557_099_07_0303afternoon_0231_0.jpg,557,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\2185/2185_017_14_0302afternoon_0234_0.jpg,2185
2062,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0559/0559_031_01_0303afternoon_0928_2_ex.jpg,559,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0752/0752_040_04_0303afternoon_0900_2_ex.jpg,752,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0559/0559_012_14_0303afternoon_0924_3.jpg,559
2065,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0560/0560_010_14_0303afternoon_0921_5.jpg,560,correct_to_wrong,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0560/0560_024_01_0303afternoon_0927_2.jpg,560,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0472/0472_004_14_0303afternoon_0251_0.jpg,472
2073,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0563/0563_006_14_0303afternoon_0937_0.jpg,563,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0594/0594_003_14_0303afternoon_1195_0_ex.jpg,594,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0563/0563_015_01_0303afternoon_0937_0.jpg,563
2079,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0566/0566_006_14_0303afternoon_0951_0.jpg,566,correct_to_wrong,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0566/0566_015_01_0303afternoon_0946_1.jpg,566,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0591/0591_003_14_0303afternoon_1190_2_ex.jpg,591
2104,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0573/0573_001_14_0303afternoon_1035_1_ex.jpg,573,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0997/0997_028_15_0113morning_0596_0_ex.jpg,997,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0573/0573_016_07_0303afternoon_1122_0.jpg,573
2137,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0582/0582_032_02_0303afternoon_1260_0.jpg,582,correct_to_wrong,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0582/0582_001_14_0303afternoon_1147_0_ex.jpg,582,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\1361/1361_007_05_0113noon_0765_2_ex.jpg,1361
2140,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0583/0583_020_01_0303afternoon_1285_8.jpg,583,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\2036/2036_014_01_0302afternoon_0514_0.jpg,2036,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0583/0583_004_14_0303afternoon_1152_0.jpg,583
2152,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0588/0588_000_14_0303afternoon_1174_2.jpg,588,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0840/0840_027_08_0303afternoon_1452_0_ex.jpg,840,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0588/0588_013_01_0303afternoon_1307_0.jpg,588
2162,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0591/0591_009_14_0303afternoon_1193_0_ex.jpg,591,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\2050/2050_006_14_0302afternoon_0588_2.jpg,2050,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0591/0591_018_01_0303afternoon_1315_2_ex.jpg,591
2170,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0594/0594_020_01_0303afternoon_1327_4_ex.jpg,594,correct_to_wrong,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0594/0594_004_14_0303afternoon_1196_0.jpg,594,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0563/0563_013_01_0303afternoon_0936_0.jpg,563
2185,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0601/0601_020_01_0303afternoon_1473_7_ex.jpg,601,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\1218/1218_009_10_0113noon_0518_1.jpg,1218,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0601/0601_001_14_0303afternoon_1225_1_ex.jpg,601
2193,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0604/0604_003_05_0303afternoon_1477_5.jpg,604,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0512/0512_009_05_0303afternoon_0586_2.jpg,512,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0604/0604_006_01_0303afternoon_1488_0_ex.jpg,604
2196,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0605/0605_000_14_0303afternoon_1234_5.jpg,605,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0531/0531_000_14_0303afternoon_0701_1.jpg,531,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0605/0605_010_01_0303afternoon_1490_9.jpg,605
2203,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0607/0607_012_01_0303afternoon_1490_5_ex.jpg,607,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0448/0448_025_01_0303afternoon_0104_0_ex.jpg,448,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0607/0607_005_05_0303afternoon_1478_8.jpg,607
2233,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0619/0619_012_05_0303afternoon_1547_1.jpg,619,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\2772/2772_060_06_0114noon_1600_1_ex.jpg,2772,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0619/0619_015_07_0303afternoon_1510_0.jpg,619
