query_index,query_path,query_pid,baseline_best_true_rank,baseline_rank1_correct,aqe_best_true_rank,aqe_rank1_correct,aqe_top20_movement,dba_best_true_rank,dba_rank1_correct,dba_top20_movement,aqe_dba_best_true_rank,aqe_dba_rank1_correct,aqe_dba_top20_movement
21,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0030_c1_f0057043.jpg,30,1,True,1,True,stayed_inside20,1,True,stayed_inside20,1,True,stayed_inside20
22,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0030_c2_f0056822.jpg,30,1,True,1,True,stayed_inside20,1,True,stayed_inside20,1,True,stayed_inside20
23,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0030_c3_f0031952.jpg,30,1,True,13,False,stayed_inside20,2,False,stayed_inside20,9,False,stayed_inside20
24,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0030_c4_f0026288.jpg,30,15,False,11,False,stayed_inside20,6,False,stayed_inside20,4,False,stayed_inside20
25,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0031_c1_f0057180.jpg,31,15,False,270,False,inside20_to_outside20,11,False,stayed_inside20,513,False,inside20_to_outside20
26,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0031_c2_f0062046.jpg,31,6,False,6,False,stayed_inside20,2,False,stayed_inside20,1,True,stayed_inside20
27,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0031_c5_f0066705.jpg,31,1,True,1,True,stayed_inside20,1,True,stayed_inside20,1,True,stayed_inside20
28,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0031_c6_f0045932.jpg,31,9,False,32,False,inside20_to_outside20,7,False,stayed_inside20,122,False,inside20_to_outside20
29,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0033_c1_f0057706.jpg,33,188,False,647,False,stayed_outside20,271,False,stayed_outside20,1007,False,stayed_outside20
30,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0033_c2_f0061704.jpg,33,7,False,39,False,inside20_to_outside20,2,False,stayed_inside20,6,False,stayed_inside20
31,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0033_c5_f0066543.jpg,33,1,True,3,False,stayed_inside20,1,True,stayed_inside20,6,False,stayed_inside20
32,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0033_c6_f0045755.jpg,33,8,False,25,False,inside20_to_outside20,6,False,stayed_inside20,9,False,stayed_inside20
33,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0034_c1_f0057636.jpg,34,293,False,871,False,stayed_outside20,608,False,stayed_outside20,1283,False,stayed_outside20
34,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0034_c2_f0057453.jpg,34,113,False,432,False,stayed_outside20,1510,False,stayed_outside20,4171,False,stayed_outside20
35,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0035_c1_f0057672.jpg,35,18,False,213,False,inside20_to_outside20,8,False,stayed_inside20,16,False,stayed_inside20
36,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0035_c2_f0057892.jpg,35,294,False,886,False,stayed_outside20,498,False,stayed_outside20,1286,False,stayed_outside20
37,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0039_c1_f0058725.jpg,39,899,False,2884,False,stayed_outside20,1313,False,stayed_outside20,1284,False,stayed_outside20
38,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0039_c2_f0063073.jpg,39,20,False,137,False,inside20_to_outside20,470,False,inside20_to_outside20,1686,False,inside20_to_outside20
39,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0039_c3_f0040399.jpg,39,48,False,315,False,stayed_outside20,555,False,stayed_outside20,2103,False,stayed_outside20
40,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0039_c4_f0037989.jpg,39,404,False,959,False,stayed_outside20,1301,False,stayed_outside20,1048,False,stayed_outside20
41,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0042_c1_f0059238.jpg,42,28,False,91,False,stayed_outside20,13,False,outside20_to_inside20,77,False,stayed_outside20
42,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0042_c2_f0063664.jpg,42,1,True,1,True,stayed_inside20,1,True,stayed_inside20,1,True,stayed_inside20
43,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0042_c5_f0068874.jpg,42,1,True,1,True,stayed_inside20,1,True,stayed_inside20,1,True,stayed_inside20
44,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0042_c6_f0048284.jpg,42,2,False,1,True,stayed_inside20,2,False,stayed_inside20,2,False,stayed_inside20
45,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0043_c1_f0059677.jpg,43,1679,False,3131,False,stayed_outside20,1872,False,stayed_outside20,2543,False,stayed_outside20
46,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0043_c6_f0036866.jpg,43,3,False,1,True,stayed_inside20,3,False,stayed_inside20,1,True,stayed_inside20
47,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0043_c7_f0041987.jpg,43,15,False,46,False,inside20_to_outside20,5,False,stayed_inside20,5,False,stayed_inside20
48,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0043_c8_f0015591.jpg,43,2828,False,2968,False,stayed_outside20,2673,False,stayed_outside20,1912,False,stayed_outside20
49,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0044_c1_f0059515.jpg,44,762,False,1620,False,stayed_outside20,838,False,stayed_outside20,1108,False,stayed_outside20
50,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0044_c2_f0059316.jpg,44,7,False,18,False,stayed_inside20,6,False,stayed_inside20,113,False,inside20_to_outside20
51,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0044_c5_f0061197.jpg,44,31,False,14,False,outside20_to_inside20,16,False,outside20_to_inside20,4,False,outside20_to_inside20
52,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0044_c6_f0037467.jpg,44,1,True,1,True,stayed_inside20,1,True,stayed_inside20,1,True,stayed_inside20
53,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0046_c1_f0060037.jpg,46,7,False,6,False,stayed_inside20,7,False,stayed_inside20,8,False,stayed_inside20
54,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0046_c2_f0064337.jpg,46,1,True,1,True,stayed_inside20,18,False,stayed_inside20,9,False,stayed_inside20
55,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0046_c3_f0041496.jpg,46,8,False,25,False,inside20_to_outside20,16,False,stayed_inside20,41,False,inside20_to_outside20
56,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0046_c4_f0039327.jpg,46,20,False,46,False,inside20_to_outside20,6,False,stayed_inside20,9,False,stayed_inside20
57,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0047_c1_f0059698.jpg,47,3,False,13,False,stayed_inside20,1,True,stayed_inside20,16,False,stayed_inside20
58,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0047_c2_f0063956.jpg,47,58,False,48,False,stayed_outside20,91,False,stayed_outside20,433,False,stayed_outside20
59,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0047_c3_f0041514.jpg,47,253,False,630,False,stayed_outside20,229,False,stayed_outside20,1916,False,stayed_outside20
60,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0047_c4_f0039318.jpg,47,1091,False,1042,False,stayed_outside20,1850,False,stayed_outside20,1616,False,stayed_outside20
61,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0049_c1_f0060029.jpg,49,71,False,388,False,stayed_outside20,165,False,stayed_outside20,585,False,stayed_outside20
62,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0049_c2_f0060033.jpg,49,4,False,1,True,stayed_inside20,10,False,stayed_inside20,10,False,stayed_inside20
63,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0050_c1_f0060180.jpg,50,130,False,418,False,stayed_outside20,107,False,stayed_outside20,1120,False,stayed_outside20
64,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0050_c2_f0064798.jpg,50,72,False,28,False,stayed_outside20,39,False,stayed_outside20,9,False,outside20_to_inside20
65,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0050_c3_f0041757.jpg,50,21,False,255,False,stayed_outside20,33,False,stayed_outside20,1727,False,stayed_outside20
66,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0050_c4_f0039649.jpg,50,20,False,49,False,inside20_to_outside20,51,False,inside20_to_outside20,100,False,inside20_to_outside20
67,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0051_c1_f0060060.jpg,51,2202,False,1707,False,stayed_outside20,1373,False,stayed_outside20,1193,False,stayed_outside20
68,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0051_c2_f0060673.jpg,51,11,False,55,False,inside20_to_outside20,13,False,stayed_inside20,49,False,inside20_to_outside20
69,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0051_c3_f0035958.jpg,51,15,False,50,False,inside20_to_outside20,163,False,inside20_to_outside20,846,False,inside20_to_outside20
70,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0051_c4_f0030830.jpg,51,431,False,993,False,stayed_outside20,729,False,stayed_outside20,1032,False,stayed_outside20
71,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0053_c1_f0060659.jpg,53,281,False,580,False,stayed_outside20,41,False,stayed_outside20,87,False,stayed_outside20
72,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0053_c2_f0063910.jpg,53,39,False,154,False,stayed_outside20,350,False,stayed_outside20,513,False,stayed_outside20
73,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0056_c1_f0061338.jpg,56,1,True,1,True,stayed_inside20,4,False,stayed_inside20,2,False,stayed_inside20
74,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0056_c8_f0017183.jpg,56,1,True,1,True,stayed_inside20,1,True,stayed_inside20,1,True,stayed_inside20
75,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0061_c1_f0062281.jpg,61,499,False,1142,False,stayed_outside20,661,False,stayed_outside20,1794,False,stayed_outside20
76,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0061_c2_f0066945.jpg,61,294,False,549,False,stayed_outside20,1259,False,stayed_outside20,1986,False,stayed_outside20
77,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0066_c1_f0063339.jpg,66,2,False,2,False,stayed_inside20,2,False,stayed_inside20,1,True,stayed_inside20
78,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0066_c2_f0062572.jpg,66,1,True,1,True,stayed_inside20,1,True,stayed_inside20,1,True,stayed_inside20
79,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0066_c5_f0065483.jpg,66,1,True,1,True,stayed_inside20,1,True,stayed_inside20,1,True,stayed_inside20
80,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0066_c6_f0041602.jpg,66,1,True,1,True,stayed_inside20,1,True,stayed_inside20,1,True,stayed_inside20
81,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0068_c1_f0063910.jpg,68,216,False,502,False,stayed_outside20,748,False,stayed_outside20,1128,False,stayed_outside20
82,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0068_c2_f0068064.jpg,68,13,False,7,False,stayed_inside20,1,True,stayed_inside20,3,False,stayed_inside20
83,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0068_c3_f0044983.jpg,68,86,False,559,False,stayed_outside20,99,False,stayed_outside20,1073,False,stayed_outside20
84,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0068_c4_f0042531.jpg,68,321,False,364,False,stayed_outside20,585,False,stayed_outside20,974,False,stayed_outside20
85,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0069_c1_f0063936.jpg,69,61,False,1663,False,stayed_outside20,137,False,stayed_outside20,7453,False,stayed_outside20
86,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0069_c2_f0063373.jpg,69,1,True,1,True,stayed_inside20,1,True,stayed_inside20,1,True,stayed_inside20
87,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0069_c3_f0038683.jpg,69,2,False,1,True,stayed_inside20,8,False,stayed_inside20,20,False,stayed_inside20
88,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0072_c1_f0064374.jpg,72,349,False,800,False,stayed_outside20,647,False,stayed_outside20,1138,False,stayed_outside20
89,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0072_c2_f0064014.jpg,72,68,False,173,False,stayed_outside20,91,False,stayed_outside20,262,False,stayed_outside20
90,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0072_c5_f0066594.jpg,72,1,True,1,True,stayed_inside20,1,True,stayed_inside20,1,True,stayed_inside20
91,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0072_c6_f0042541.jpg,72,1,True,3,False,stayed_inside20,7,False,stayed_inside20,47,False,inside20_to_outside20
92,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0075_c1_f0065478.jpg,75,1,True,1,True,stayed_inside20,1,True,stayed_inside20,1,True,stayed_inside20
93,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0075_c2_f0069561.jpg,75,7,False,53,False,inside20_to_outside20,3,False,stayed_inside20,2,False,stayed_inside20
94,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0075_c3_f0046520.jpg,75,171,False,607,False,stayed_outside20,174,False,stayed_outside20,1018,False,stayed_outside20
95,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0075_c4_f0043898.jpg,75,31,False,176,False,stayed_outside20,31,False,stayed_outside20,97,False,stayed_outside20
96,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0076_c1_f0065752.jpg,76,1,True,1,True,stayed_inside20,1,True,stayed_inside20,1,True,stayed_inside20
97,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0076_c2_f0069554.jpg,76,1,True,1,True,stayed_inside20,1,True,stayed_inside20,1,True,stayed_inside20
98,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0076_c5_f0074727.jpg,76,1,True,1,True,stayed_inside20,1,True,stayed_inside20,1,True,stayed_inside20
99,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0076_c6_f0053772.jpg,76,2,False,1,True,stayed_inside20,1,True,stayed_inside20,1,True,stayed_inside20
100,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0077_c1_f0065934.jpg,77,1,True,1,True,stayed_inside20,2,False,stayed_inside20,1,True,stayed_inside20
101,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0077_c2_f0070242.jpg,77,1,True,1,True,stayed_inside20,1,True,stayed_inside20,1,True,stayed_inside20
102,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0077_c8_f0121283.jpg,77,1,True,1,True,stayed_inside20,1,True,stayed_inside20,1,True,stayed_inside20
103,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0078_c1_f0065952.jpg,78,1,True,1,True,stayed_inside20,1,True,stayed_inside20,1,True,stayed_inside20
104,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0078_c2_f0065863.jpg,78,1,True,1,True,stayed_inside20,1,True,stayed_inside20,1,True,stayed_inside20
105,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0078_c3_f0039942.jpg,78,10,False,127,False,inside20_to_outside20,10,False,stayed_inside20,166,False,inside20_to_outside20
106,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0078_c4_f0034045.jpg,78,341,False,423,False,stayed_outside20,763,False,stayed_outside20,1067,False,stayed_outside20
107,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0079_c1_f0066859.jpg,79,5,False,26,False,inside20_to_outside20,9,False,stayed_inside20,21,False,inside20_to_outside20
108,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0079_c2_f0066874.jpg,79,1,True,3,False,stayed_inside20,9,False,stayed_inside20,13,False,stayed_inside20
109,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0080_c1_f0066749.jpg,80,1,True,1,True,stayed_inside20,1,True,stayed_inside20,2,False,stayed_inside20
110,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0080_c2_f0070131.jpg,80,26,False,62,False,stayed_outside20,8,False,outside20_to_inside20,3,False,outside20_to_inside20
111,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0080_c3_f0047264.jpg,80,1,True,1,True,stayed_inside20,1,True,stayed_inside20,1,True,stayed_inside20
112,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0080_c4_f0044060.jpg,80,640,False,228,False,stayed_outside20,746,False,stayed_outside20,72,False,stayed_outside20
113,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0083_c1_f0067852.jpg,83,10,False,257,False,inside20_to_outside20,46,False,inside20_to_outside20,529,False,inside20_to_outside20
114,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0083_c2_f0071809.jpg,83,1,True,1,True,stayed_inside20,1,True,stayed_inside20,1,True,stayed_inside20
115,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0083_c5_f0077755.jpg,83,1,True,1,True,stayed_inside20,1,True,stayed_inside20,1,True,stayed_inside20
116,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0083_c6_f0056713.jpg,83,6,False,4,False,stayed_inside20,2,False,stayed_inside20,1,True,stayed_inside20
117,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0086_c1_f0067692.jpg,86,1,True,1,True,stayed_inside20,1,True,stayed_inside20,1,True,stayed_inside20
118,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0086_c2_f0067260.jpg,86,1,True,1,True,stayed_inside20,1,True,stayed_inside20,1,True,stayed_inside20
119,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0086_c3_f0042905.jpg,86,3,False,2,False,stayed_inside20,1,True,stayed_inside20,1,True,stayed_inside20
120,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0086_c4_f0037335.jpg,86,1,True,1,True,stayed_inside20,1,True,stayed_inside20,1,True,stayed_inside20
121,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0088_c1_f0068997.jpg,88,3,False,2,False,stayed_inside20,3,False,stayed_inside20,1,True,stayed_inside20
122,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0088_c2_f0072748.jpg,88,31,False,36,False,stayed_outside20,3,False,outside20_to_inside20,3,False,outside20_to_inside20
123,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0088_c3_f0050799.jpg,88,1,True,1,True,stayed_inside20,9,False,stayed_inside20,9,False,stayed_inside20
124,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0088_c4_f0048648.jpg,88,259,False,341,False,stayed_outside20,541,False,stayed_outside20,802,False,stayed_outside20
125,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0089_c1_f0069226.jpg,89,752,False,2666,False,stayed_outside20,881,False,stayed_outside20,4661,False,stayed_outside20
126,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0089_c8_f0025415.jpg,89,7,False,7,False,stayed_inside20,63,False,inside20_to_outside20,29,False,inside20_to_outside20
127,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0090_c1_f0069115.jpg,90,48,False,1086,False,stayed_outside20,3,False,outside20_to_inside20,45,False,stayed_outside20
128,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0090_c2_f0073203.jpg,90,7,False,13,False,stayed_inside20,36,False,inside20_to_outside20,79,False,inside20_to_outside20
129,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0091_c1_f0069493.jpg,91,2,False,4,False,stayed_inside20,11,False,stayed_inside20,236,False,inside20_to_outside20
130,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0091_c2_f0073387.jpg,91,834,False,1353,False,stayed_outside20,1502,False,stayed_outside20,1686,False,stayed_outside20
131,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0092_c1_f0069453.jpg,92,64,False,431,False,stayed_outside20,23,False,stayed_outside20,346,False,stayed_outside20
132,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0092_c2_f0073285.jpg,92,1,True,1,True,stayed_inside20,1,True,stayed_inside20,1,True,stayed_inside20
133,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0095_c1_f0069660.jpg,95,24,False,466,False,stayed_outside20,57,False,stayed_outside20,977,False,stayed_outside20
134,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0095_c2_f0073463.jpg,95,1,True,1,True,stayed_inside20,1,True,stayed_inside20,1,True,stayed_inside20
135,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0095_c5_f0078456.jpg,95,1,True,1,True,stayed_inside20,1,True,stayed_inside20,1,True,stayed_inside20
136,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0095_c6_f0057884.jpg,95,1,True,1,True,stayed_inside20,1,True,stayed_inside20,1,True,stayed_inside20
137,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0097_c1_f0069940.jpg,97,4,False,8,False,stayed_inside20,1,True,stayed_inside20,1,True,stayed_inside20
