baseline_false_path,baseline_false_pid,baseline_false_visual_similarity,best_true_path,best_true_rank_after,best_true_rank_before,best_true_visual_similarity,false_semantic_adjustment,funnel_stage,query_index,query_path,query_pid,semantic_corrected_rank1,true_in_ambiguity,true_in_top20,true_minus_false_visual_gap,true_semantic_adjustment
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0729_c1_f0183349.jpg,729,0.8310503363609314,,,,,,B,29,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0033_c1_f0057706.jpg,33,,False,False,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0693_c2_f0172592.jpg,693,0.8399441242218018,,,,,,C,30,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0033_c2_f0061704.jpg,33,,False,True,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\2736_c6_f0158589.jpg,2736,0.8374760150909424,,,,,,C,32,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0033_c6_f0045755.jpg,33,,False,True,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0072_c1_f0064614.jpg,72,0.8733875751495361,,,,,,B,33,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0034_c1_f0057636.jpg,34,,False,False,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\3259_c5_f0226756.jpg,3259,0.7942702770233154,,,,,,B,34,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0034_c2_f0057453.jpg,34,,False,False,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0305_c1_f0101056.jpg,305,0.8013638257980347,,,,,,C,35,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0035_c1_f0057672.jpg,35,,False,True,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0344_c2_f0105504.jpg,344,0.8311290740966797,,,,,,B,36,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0035_c2_f0057892.jpg,35,,False,False,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0033_c1_f0057226.jpg,33,0.8128751516342163,,,,,,B,37,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0039_c1_f0058725.jpg,39,,False,False,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\5949_c8_f0023081.jpg,5949,0.7676442265510559,,,,,,C,38,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0039_c2_f0063073.jpg,39,,False,True,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0356_c3_f0082698.jpg,356,0.7747960090637207,,,,,,B,39,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0039_c3_f0040399.jpg,39,,False,False,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0047_c4_f0039918.jpg,47,0.8381409645080566,,,,,,B,40,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0039_c4_f0037989.jpg,39,,False,False,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0056_c1_f0061458.jpg,56,0.8124135732650757,,,,,,B,41,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0042_c1_f0059238.jpg,42,,False,False,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0103_c6_f0048435.jpg,103,0.8438255786895752,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0042_c2_f0063784.jpg,1,2,0.8280313014984131,-0.5,E,44,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0042_c6_f0048284.jpg,42,True,True,True,-0.01579427719116211,0.5
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0346_c1_f0107009.jpg,346,0.9079136848449707,,,,,,B,45,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0043_c1_f0059677.jpg,43,,False,False,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\4110_c6_f0045335.jpg,4110,0.8640379905700684,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0043_c7_f0041867.jpg,3,3,0.8441802859306335,0.0,F,46,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0043_c6_f0036866.jpg,43,False,True,True,-0.019857704639434814,0.0
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0346_c7_f0088807.jpg,346,0.8151339292526245,,,,,,C,47,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0043_c7_f0041987.jpg,43,,False,True,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\3410_c8_f0036137.jpg,3410,0.8122036457061768,,,,,,B,48,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0043_c8_f0015591.jpg,43,,False,False,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0471_c1_f0125948.jpg,471,0.9307060241699219,,,,,,B,49,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0044_c1_f0059515.jpg,44,,False,False,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0261_c5_f0098735.jpg,261,0.825503945350647,,,,,,C,50,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0044_c2_f0059316.jpg,44,,False,True,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0230_c5_f0096068.jpg,230,0.8145488500595093,,,,,,B,51,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0044_c5_f0061197.jpg,44,,False,False,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0047_c1_f0059818.jpg,47,0.8862926363945007,,,,,,C,53,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0046_c1_f0060037.jpg,46,,False,True,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0555_c3_f0121823.jpg,555,0.8467435836791992,,,,,,C,55,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0046_c3_f0041496.jpg,46,,False,True,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0279_c4_f0068609.jpg,279,0.8680226802825928,,,,,,C,56,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0046_c4_f0039327.jpg,46,,False,True,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0046_c1_f0059677.jpg,46,0.8180884122848511,,,,,,C,57,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0047_c1_f0059698.jpg,47,,False,True,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0106_c2_f0071709.jpg,106,0.7778338193893433,,,,,,B,58,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0047_c2_f0063956.jpg,47,,False,False,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\6367_c8_f0073930.jpg,6367,0.8242894411087036,,,,,,B,59,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0047_c3_f0041514.jpg,47,,False,False,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0240_c4_f0064650.jpg,240,0.8543406128883362,,,,,,B,60,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0047_c4_f0039318.jpg,47,,False,False,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0706_c1_f0176952.jpg,706,0.872123658657074,,,,,,B,61,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0049_c1_f0060029.jpg,49,,False,False,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0347_c1_f0106937.jpg,347,0.7906404733657837,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0049_c1_f0060269.jpg,9,4,0.785559356212616,0.0,F,62,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0049_c2_f0060033.jpg,49,False,True,True,-0.005081117153167725,0.0
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0321_c1_f0104956.jpg,321,0.8274730443954468,,,,,,B,63,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0050_c1_f0060180.jpg,50,,False,False,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0734_c2_f0184987.jpg,734,0.8064858913421631,,,,,,B,64,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0050_c2_f0064798.jpg,50,,False,False,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0257_c3_f0072336.jpg,257,0.8674782514572144,,,,,,B,65,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0050_c3_f0041757.jpg,50,,False,False,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0285_c4_f0079431.jpg,285,0.8315329551696777,,,,,,C,66,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0050_c4_f0039649.jpg,50,,False,True,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\6253_c8_f0059288.jpg,6253,0.782241940498352,,,,,,B,67,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0051_c1_f0060060.jpg,51,,False,False,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0631_c2_f0165030.jpg,631,0.8578534722328186,,,,,,C,68,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0051_c2_f0060673.jpg,51,,False,True,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0788_c3_f0176043.jpg,788,0.8565807342529297,,,,,,C,69,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0051_c3_f0035958.jpg,51,,False,True,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0251_c4_f0066565.jpg,251,0.8496265411376953,,,,,,B,70,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0051_c4_f0030830.jpg,51,,False,False,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0187_c1_f0087870.jpg,187,0.780254602432251,,,,,,B,71,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0053_c1_f0060659.jpg,53,,False,False,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0125_c2_f0080971.jpg,125,0.7931126952171326,,,,,,B,72,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0053_c2_f0063910.jpg,53,,False,False,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0495_c1_f0128559.jpg,495,0.8922269344329834,,,,,,B,75,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0061_c1_f0062281.jpg,61,,False,False,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\6407_c8_f0077754.jpg,6407,0.7664769887924194,,,,,,B,76,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0061_c2_f0066945.jpg,61,,False,False,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0410_c1_f0115536.jpg,410,0.8309195041656494,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0066_c6_f0041002.jpg,1,2,0.8125057220458984,-0.5,E,77,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0066_c1_f0063339.jpg,66,True,True,True,-0.018413782119750977,1.0
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0239_c1_f0095293.jpg,239,0.8516077399253845,,,,,,B,81,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0068_c1_f0063910.jpg,68,,False,False,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0631_c2_f0165630.jpg,631,0.8217175006866455,,,,,,C,82,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0068_c2_f0068064.jpg,68,,False,True,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0187_c3_f0068945.jpg,187,0.8416811227798462,,,,,,B,83,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0068_c3_f0044983.jpg,68,,False,False,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0187_c4_f0066579.jpg,187,0.8354129791259766,,,,,,B,84,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0068_c4_f0042531.jpg,68,,False,False,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0426_c1_f0118497.jpg,426,0.8198738098144531,,,,,,B,85,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0069_c1_f0063936.jpg,69,,False,False,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\4118_c8_f0026196.jpg,4118,0.7719069719314575,,,,,,C,87,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0069_c3_f0038683.jpg,69,,False,True,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0103_c1_f0070451.jpg,103,0.8915367126464844,,,,,,B,88,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0072_c1_f0064374.jpg,72,,False,False,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0468_c2_f0125079.jpg,468,0.8349943161010742,,,,,,B,89,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0072_c2_f0064014.jpg,72,,False,False,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0251_c1_f0096395.jpg,251,0.7673184275627136,,,,,,C,93,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0075_c2_f0069561.jpg,75,,False,True,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0019_c6_f0039710.jpg,19,0.8033798933029175,,,,,,B,94,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0075_c3_f0046520.jpg,75,,False,False,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0823_c4_f0179178.jpg,823,0.8483001589775085,,,,,,B,95,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0075_c4_f0043898.jpg,75,,False,False,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0469_c6_f0113612.jpg,469,0.8424386382102966,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0076_c2_f0069794.jpg,1,2,0.8396505117416382,-0.5,E,99,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0076_c6_f0053772.jpg,76,True,True,True,-0.0027881264686584473,0.5
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\1750_c3_f0118868.jpg,1750,0.8443065881729126,,,,,,C,105,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0078_c3_f0039942.jpg,78,,False,True,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0304_c4_f0070397.jpg,304,0.8658701181411743,,,,,,B,106,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0078_c4_f0034045.jpg,78,,False,False,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0316_c1_f0102626.jpg,316,0.8242911696434021,,,,,,C,107,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0079_c1_f0066859.jpg,79,,False,True,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\2557_c7_f0084539.jpg,2557,0.8487035036087036,,,,,,B,110,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0080_c2_f0070131.jpg,80,,False,False,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0601_c4_f0136723.jpg,601,0.8209151029586792,,,,,,B,112,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0080_c4_f0044060.jpg,80,,False,False,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0072_c1_f0064614.jpg,72,0.7999891042709351,,,,,,C,113,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0083_c1_f0067852.jpg,83,,False,True,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\4480_c6_f0104323.jpg,4480,0.7769006490707397,,,,,,C,116,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0083_c6_f0056713.jpg,83,,False,True,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\1834_c3_f0137813.jpg,1834,0.8244847059249878,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0086_c2_f0067500.jpg,3,3,0.8181899785995483,1.0,F,119,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0086_c3_f0042905.jpg,86,False,True,True,-0.006294727325439453,1.0
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0150_c1_f0081378.jpg,150,0.8369486331939697,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0088_c2_f0072868.jpg,6,3,0.8286088705062866,-0.5,E,121,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0088_c1_f0068997.jpg,88,True,True,True,-0.008339762687683105,-1.0
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\1463_c2_f0109427.jpg,1463,0.9027073383331299,,,,,,B,122,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0088_c2_f0072748.jpg,88,,False,False,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0150_c4_f0051441.jpg,150,0.8770509362220764,,,,,,B,124,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0088_c4_f0048648.jpg,88,,False,False,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0807_c1_f0101861.jpg,807,0.8850606083869934,,,,,,B,125,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0089_c1_f0069226.jpg,89,,False,False,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\4750_c8_f0150968.jpg,4750,0.7944921255111694,,,,,,C,126,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0089_c8_f0025415.jpg,89,,False,True,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0175_c1_f0086210.jpg,175,0.8246902227401733,,,,,,B,127,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0090_c1_f0069115.jpg,90,,False,False,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0846_c1_f0219181.jpg,846,0.7296559810638428,,,,,,C,128,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0090_c2_f0073203.jpg,90,,False,True,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0272_c1_f0097938.jpg,272,0.7757512331008911,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0091_c2_f0072907.jpg,1,2,0.7672802805900574,-1.0,E,129,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0091_c1_f0069493.jpg,91,True,True,True,-0.00847095251083374,-0.5
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\6263_c8_f0061166.jpg,6263,0.8978004455566406,,,,,,B,130,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0091_c2_f0073387.jpg,91,,False,False,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0773_c1_f0193890.jpg,773,0.822478175163269,,,,,,B,131,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0092_c1_f0069453.jpg,92,,False,False,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0523_c1_f0133199.jpg,523,0.8239988684654236,,,,,,B,133,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0095_c1_f0069660.jpg,95,,False,False,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0830_c1_f0212741.jpg,830,0.8341327905654907,,,,,,C,137,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0097_c1_f0069940.jpg,97,,False,True,,
D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0097_c1_f0069700.jpg,97,0.8746687173843384,,,,,,B,139,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0098_c1_f0069984.jpg,98,,False,False,,
