query_index,query_path,query_pid,baseline_best_true_rank,baseline_rank1_correct,top100_bucket,recoverable_top50,recoverable_top100
75,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0061_c1_f0062281.jpg,61,499,False,rank_gt_100,False,False
76,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0061_c2_f0066945.jpg,61,294,False,rank_gt_100,False,False
81,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0068_c1_f0063910.jpg,68,216,False,rank_gt_100,False,False
83,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0068_c3_f0044983.jpg,68,86,False,rank_51_100,False,True
84,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0068_c4_f0042531.jpg,68,321,False,rank_gt_100,False,False
85,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0069_c1_f0063936.jpg,69,61,False,rank_51_100,False,True
88,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0072_c1_f0064374.jpg,72,349,False,rank_gt_100,False,False
89,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0072_c2_f0064014.jpg,72,68,False,rank_51_100,False,True
94,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0075_c3_f0046520.jpg,75,171,False,rank_gt_100,False,False
95,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0075_c4_f0043898.jpg,75,31,False,rank_21_50,True,True
106,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0078_c4_f0034045.jpg,78,341,False,rank_gt_100,False,False
110,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0080_c2_f0070131.jpg,80,26,False,rank_21_50,True,True
112,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0080_c4_f0044060.jpg,80,640,False,rank_gt_100,False,False
122,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0088_c2_f0072748.jpg,88,31,False,rank_21_50,True,True
124,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0088_c4_f0048648.jpg,88,259,False,rank_gt_100,False,False
125,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0089_c1_f0069226.jpg,89,752,False,rank_gt_100,False,False
127,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0090_c1_f0069115.jpg,90,48,False,rank_21_50,True,True
130,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0091_c2_f0073387.jpg,91,834,False,rank_gt_100,False,False
131,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0092_c1_f0069453.jpg,92,64,False,rank_51_100,False,True
133,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0095_c1_f0069660.jpg,95,24,False,rank_21_50,True,True
139,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0098_c1_f0069984.jpg,98,5502,False,rank_gt_100,False,False
143,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0099_c1_f0070437.jpg,99,134,False,rank_gt_100,False,False
144,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0099_c2_f0069951.jpg,99,242,False,rank_gt_100,False,False
145,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0099_c3_f0045400.jpg,99,62,False,rank_51_100,False,True
146,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0099_c4_f0039646.jpg,99,157,False,rank_gt_100,False,False
147,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0101_c1_f0070929.jpg,101,9026,False,rank_gt_100,False,False
148,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0101_c2_f0070591.jpg,101,108,False,rank_gt_100,False,False
149,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0103_c1_f0070571.jpg,103,2398,False,rank_gt_100,False,False
153,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0106_c1_f0071620.jpg,106,1487,False,rank_gt_100,False,False
154,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0106_c2_f0071469.jpg,106,209,False,rank_gt_100,False,False
155,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0106_c3_f0046940.jpg,106,67,False,rank_51_100,False,True
156,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0106_c4_f0041356.jpg,106,362,False,rank_gt_100,False,False
157,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0107_c1_f0071282.jpg,107,228,False,rank_gt_100,False,False
158,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0107_c2_f0071824.jpg,107,132,False,rank_gt_100,False,False
159,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0107_c3_f0046827.jpg,107,482,False,rank_gt_100,False,False
160,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0107_c4_f0041266.jpg,107,925,False,rank_gt_100,False,False
164,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0109_c6_f0059222.jpg,109,655,False,rank_gt_100,False,False
165,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0111_c1_f0071894.jpg,111,188,False,rank_gt_100,False,False
168,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0111_c8_f0028190.jpg,111,40,False,rank_21_50,True,True
178,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0115_c2_f0077031.jpg,115,705,False,rank_gt_100,False,False
187,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0119_c1_f0074020.jpg,119,865,False,rank_gt_100,False,False
192,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0122_c1_f0074953.jpg,122,1344,False,rank_gt_100,False,False
196,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0123_c3_f0050437.jpg,123,26,False,rank_21_50,True,True
197,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0123_c4_f0044820.jpg,123,103,False,rank_gt_100,False,False
198,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0125_c1_f0075694.jpg,125,123,False,rank_gt_100,False,False
199,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0125_c2_f0082051.jpg,125,31,False,rank_21_50,True,True
202,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0126_c3_f0059549.jpg,126,41,False,rank_21_50,True,True
205,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0127_c1_f0075956.jpg,127,63,False,rank_51_100,False,True
206,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0127_c2_f0075875.jpg,127,28,False,rank_21_50,True,True
207,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0128_c1_f0076112.jpg,128,862,False,rank_gt_100,False,False
208,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0128_c2_f0080602.jpg,128,1351,False,rank_gt_100,False,False
209,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0128_c3_f0057862.jpg,128,726,False,rank_gt_100,False,False
210,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0128_c4_f0055645.jpg,128,374,False,rank_gt_100,False,False
211,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0134_c1_f0077129.jpg,134,347,False,rank_gt_100,False,False
212,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0134_c2_f0080749.jpg,134,411,False,rank_gt_100,False,False
214,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0134_c6_f0065112.jpg,134,214,False,rank_gt_100,False,False
215,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0134_c7_f0067627.jpg,134,1916,False,rank_gt_100,False,False
219,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0135_c4_f0046746.jpg,135,191,False,rank_gt_100,False,False
222,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0136_c6_f0057115.jpg,136,36,False,rank_21_50,True,True
226,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0137_c6_f0066560.jpg,137,76,False,rank_51_100,False,True
227,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0137_c7_f0069000.jpg,137,76,False,rank_51_100,False,True
230,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0140_c8_f0141968.jpg,140,547,False,rank_gt_100,False,False
231,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0142_c1_f0079321.jpg,142,4530,False,rank_gt_100,False,False
232,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0142_c2_f0078414.jpg,142,62,False,rank_51_100,False,True
235,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0143_c3_f0055055.jpg,143,82,False,rank_51_100,False,True
236,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0143_c4_f0049743.jpg,143,67,False,rank_51_100,False,True
237,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0145_c1_f0080150.jpg,145,89,False,rank_51_100,False,True
238,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0145_c2_f0079839.jpg,145,6058,False,rank_gt_100,False,False
242,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0147_c4_f0049659.jpg,147,46,False,rank_21_50,True,True
244,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0149_c2_f0080441.jpg,149,55,False,rank_51_100,False,True
248,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0150_c4_f0051201.jpg,150,448,False,rank_gt_100,False,False
251,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0151_c3_f0057069.jpg,151,60,False,rank_51_100,False,True
252,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0151_c4_f0051330.jpg,151,735,False,rank_gt_100,False,False
253,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0158_c1_f0082789.jpg,158,1110,False,rank_gt_100,False,False
255,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0158_c3_f0064720.jpg,158,27,False,rank_21_50,True,True
261,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0162_c2_f0083708.jpg,162,142,False,rank_gt_100,False,False
263,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0162_c4_f0053991.jpg,162,81,False,rank_51_100,False,True
268,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0167_c1_f0084519.jpg,167,4187,False,rank_gt_100,False,False
269,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0167_c2_f0084455.jpg,167,397,False,rank_gt_100,False,False
270,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0169_c1_f0085186.jpg,169,28,False,rank_21_50,True,True
275,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0170_c4_f0064924.jpg,170,662,False,rank_gt_100,False,False
276,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0171_c1_f0085696.jpg,171,495,False,rank_gt_100,False,False
278,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0171_c3_f0068160.jpg,171,201,False,rank_gt_100,False,False
281,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0175_c1_f0085610.jpg,175,71,False,rank_51_100,False,True
287,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0181_c1_f0086457.jpg,181,2353,False,rank_gt_100,False,False
288,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0181_c2_f0091224.jpg,181,66,False,rank_51_100,False,True
289,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0183_c1_f0087290.jpg,183,6952,False,rank_gt_100,False,False
290,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0183_c7_f0069034.jpg,183,424,False,rank_gt_100,False,False
291,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0183_c8_f0042667.jpg,183,21,False,rank_21_50,True,True
294,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0184_c3_f0061789.jpg,184,22,False,rank_21_50,True,True
295,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0184_c4_f0056293.jpg,184,556,False,rank_gt_100,False,False
301,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0187_c2_f0092070.jpg,187,25,False,rank_21_50,True,True
302,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0187_c3_f0069305.jpg,187,488,False,rank_gt_100,False,False
303,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0187_c4_f0067179.jpg,187,511,False,rank_gt_100,False,False
304,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0188_c1_f0087974.jpg,188,468,False,rank_gt_100,False,False
306,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0188_c3_f0061909.jpg,188,3299,False,rank_gt_100,False,False
307,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0192_c1_f0088088.jpg,192,60,False,rank_51_100,False,True
308,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0192_c2_f0092522.jpg,192,74,False,rank_51_100,False,True
313,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0197_c6_f0074556.jpg,197,940,False,rank_gt_100,False,False
314,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0197_c7_f0078717.jpg,197,3441,False,rank_gt_100,False,False
321,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0200_c6_f0067346.jpg,200,35,False,rank_21_50,True,True
322,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0201_c1_f0089728.jpg,201,508,False,rank_gt_100,False,False
324,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0201_c5_f0091471.jpg,201,46,False,rank_21_50,True,True
326,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0204_c1_f0090510.jpg,204,704,False,rank_gt_100,False,False
327,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0204_c2_f0089070.jpg,204,26,False,rank_21_50,True,True
330,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0205_c5_f0092480.jpg,205,42,False,rank_21_50,True,True
331,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0205_c6_f0069343.jpg,205,383,False,rank_gt_100,False,False
332,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0206_c1_f0090326.jpg,206,441,False,rank_gt_100,False,False
335,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0206_c4_f0071226.jpg,206,715,False,rank_gt_100,False,False
336,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0207_c1_f0090094.jpg,207,83,False,rank_51_100,False,True
340,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0210_c1_f0090728.jpg,210,89,False,rank_51_100,False,True
346,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0212_c1_f0090490.jpg,212,30,False,rank_21_50,True,True
348,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0212_c5_f0092818.jpg,212,573,False,rank_gt_100,False,False
350,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0213_c1_f0091562.jpg,213,128,False,rank_gt_100,False,False
355,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0214_c4_f0061381.jpg,214,1636,False,rank_gt_100,False,False
356,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0215_c1_f0091488.jpg,215,4303,False,rank_gt_100,False,False
357,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0215_c2_f0096446.jpg,215,3157,False,rank_gt_100,False,False
360,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0218_c1_f0092641.jpg,218,901,False,rank_gt_100,False,False
362,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0219_c1_f0093113.jpg,219,408,False,rank_gt_100,False,False
363,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0219_c8_f0048588.jpg,219,36,False,rank_21_50,True,True
364,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0220_c1_f0092716.jpg,220,45,False,rank_21_50,True,True
367,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0220_c4_f0062939.jpg,220,167,False,rank_gt_100,False,False
370,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0221_c3_f0069090.jpg,221,101,False,rank_gt_100,False,False
372,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0223_c1_f0093840.jpg,223,927,False,rank_gt_100,False,False
377,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0229_c2_f0098289.jpg,229,879,False,rank_gt_100,False,False
379,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0230_c1_f0094160.jpg,230,695,False,rank_gt_100,False,False
380,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0230_c2_f0094102.jpg,230,88,False,rank_51_100,False,True
382,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0230_c6_f0072602.jpg,230,218,False,rank_gt_100,False,False
384,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0235_c6_f0055870.jpg,235,92,False,rank_51_100,False,True
387,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0237_c3_f0069501.jpg,237,2465,False,rank_gt_100,False,False
389,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0238_c1_f0094853.jpg,238,32,False,rank_21_50,True,True
390,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0238_c2_f0094676.jpg,238,456,False,rank_gt_100,False,False
391,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0239_c1_f0095533.jpg,239,3982,False,rank_gt_100,False,False
392,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0239_c8_f0051344.jpg,239,325,False,rank_gt_100,False,False
393,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0240_c1_f0095215.jpg,240,149,False,rank_gt_100,False,False
394,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0240_c2_f0095029.jpg,240,273,False,rank_gt_100,False,False
395,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0240_c3_f0070545.jpg,240,57,False,rank_51_100,False,True
396,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0240_c4_f0065130.jpg,240,1348,False,rank_gt_100,False,False
397,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0241_c1_f0095131.jpg,241,29,False,rank_21_50,True,True
398,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0241_c2_f0094825.jpg,241,23,False,rank_21_50,True,True
402,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0243_c1_f0095564.jpg,243,255,False,rank_gt_100,False,False
407,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0244_c6_f0073324.jpg,244,372,False,rank_gt_100,False,False
410,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0247_c1_f0095658.jpg,247,839,False,rank_gt_100,False,False
413,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0247_c4_f0074689.jpg,247,415,False,rank_gt_100,False,False
416,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0249_c3_f0071496.jpg,249,444,False,rank_gt_100,False,False
417,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0251_c1_f0096035.jpg,251,381,False,rank_gt_100,False,False
418,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0251_c2_f0096850.jpg,251,128,False,rank_gt_100,False,False
419,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0251_c3_f0071565.jpg,251,2074,False,rank_gt_100,False,False
420,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0251_c4_f0066325.jpg,251,2052,False,rank_gt_100,False,False
421,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0253_c2_f0096963.jpg,253,2021,False,rank_gt_100,False,False
422,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0253_c3_f0071714.jpg,253,4777,False,rank_gt_100,False,False
423,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0253_c4_f0066302.jpg,253,106,False,rank_gt_100,False,False
424,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0254_c1_f0096347.jpg,254,479,False,rank_gt_100,False,False
430,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0257_c1_f0096507.jpg,257,1581,False,rank_gt_100,False,False
432,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0257_c3_f0071976.jpg,257,3165,False,rank_gt_100,False,False
433,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0257_c4_f0066446.jpg,257,2112,False,rank_gt_100,False,False
434,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0261_c1_f0096859.jpg,261,3364,False,rank_gt_100,False,False
