query_index,query_path,true_path,false_path,true_pid,false_pid,true_visual_similarity,false_visual_similarity,true_minus_false_visual_gap,query_upper_colour,true_upper_colour,false_upper_colour,query_true_upper_colour_mismatch,query_false_upper_colour_match,true_upper_colour_contribution,false_upper_colour_contribution,query_lower_colour,true_lower_colour,false_lower_colour,query_true_lower_colour_mismatch,query_false_lower_colour_match,true_lower_colour_contribution,false_lower_colour_contribution,main_reward_attributes,main_true_penalty_attributes,removing_upper_colour_avoids_error,top1_without_upper_colour,removing_lower_colour_avoids_error,top1_without_lower_colour
1371,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0849_c2_f0218633.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0849_c5_f0221367.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0468_c2_f0125199.jpg,849,468,0.8452301025390625,0.8320560455322266,0.013174057006835938,black,gray,black,True,True,-1,1,gray,gray,gray,False,True,1,1,upper_colour|lower_colour,upper_colour,True,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0849_c5_f0221367.jpg,True,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0849_c5_f0221247.jpg
1405,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\1297_c8_f0023849.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\1297_c2_f0068117.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\4558_c8_f0100048.jpg,1297,4558,0.8482298851013184,0.8362139463424683,0.012015938758850098,blue,black,blue,True,True,-1,1,blue,black,blue,True,True,-1,1,upper_colour|lower_colour,upper_colour|lower_colour,False,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\4558_c8_f0100048.jpg,False,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\4558_c8_f0100048.jpg
1434,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\1463_c2_f0109787.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\1463_c5_f0099358.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\1682_c2_f0129588.jpg,1463,1682,0.9063949584960938,0.8979830741882324,0.008411884307861328,gray,brown,purple,True,False,-1,-1,gray,brown,unknown,True,False,-1,0.0,none,upper_colour|lower_colour,False,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\1682_c2_f0129588.jpg,True,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\1463_c5_f0099358.jpg
1437,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\1480_c2_f0098647.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\1480_c5_f0101557.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\2001_c2_f0206002.jpg,1480,2001,0.820415735244751,0.8051855564117432,0.015230178833007812,gray,brown,black,True,False,-1,-1,gray,brown,gray,True,True,-1,1,lower_colour,upper_colour|lower_colour,False,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\2001_c2_f0206002.jpg,True,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\1480_c5_f0101557.jpg
1438,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\1480_c3_f0073778.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\1480_c4_f0068206.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\2001_c3_f0183512.jpg,1480,2001,0.8070805072784424,0.7889432907104492,0.018137216567993164,brown,brown,brown,False,True,1,1,brown,gray,brown,True,True,-1,1,upper_colour|lower_colour,lower_colour,False,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\2001_c3_f0183512.jpg,True,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\1480_c4_f0068206.jpg
1481,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\1699_c4_f0106406.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\1699_c3_f0109037.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0279_c3_f0074148.jpg,1699,279,0.8803023099899292,0.8650737404823303,0.015228569507598877,black,blue,black,True,True,-1,1,black,blue,black,True,True,-1,1,upper_colour|lower_colour,upper_colour|lower_colour,False,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0279_c3_f0074148.jpg,False,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0279_c3_f0074148.jpg
1545,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\2001_c2_f0205882.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\2001_c5_f0210186.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0295_c2_f0099245.jpg,2001,295,0.831907331943512,0.828816294670105,0.0030910372734069824,gray,black,gray,True,True,-1,1,gray,gray,gray,False,True,1,1,upper_colour|lower_colour,upper_colour,True,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\2001_c5_f0210186.jpg,False,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0295_c2_f0099245.jpg
1650,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\3561_c5_f0123594.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\3561_c6_f0099469.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\1463_c2_f0109067.jpg,3561,1463,0.8233993053436279,0.8127756118774414,0.010623693466186523,orange,blue,unknown,True,False,-1,0.0,unknown,blue,unknown,False,False,0.0,0.0,none,upper_colour,True,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\3561_c6_f0099469.jpg,False,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\1463_c2_f0109067.jpg
1748,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\4128_c6_f0048899.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\4128_c7_f0051171.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\4447_c7_f0101039.jpg,4128,4447,0.8495481014251709,0.8491859436035156,0.00036215782165527344,red,pink,red,True,True,-1,1,red,unknown,red,False,True,0.0,1,upper_colour|lower_colour,upper_colour,False,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\4447_c7_f0101039.jpg,False,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\4447_c7_f0101039.jpg
1785,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\4169_c7_f0062012.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\4169_c6_f0056451.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\4170_c7_f0061997.jpg,4169,4170,0.896385669708252,0.8959961533546448,0.00038951635360717773,blue,unknown,blue,False,True,0.0,1,blue,gray,blue,True,True,-1,1,upper_colour|lower_colour,lower_colour,False,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\4170_c7_f0061997.jpg,False,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\4170_c7_f0061997.jpg
1872,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\4280_c7_f0078085.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\4280_c6_f0072850.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\4477_c7_f0108763.jpg,4280,4477,0.8624204397201538,0.8427610397338867,0.01965939998626709,blue,blue,blue,False,True,1,1,blue,gray,blue,True,True,-1,1,upper_colour|lower_colour,lower_colour,False,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\4477_c7_f0108763.jpg,True,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\4280_c6_f0072850.jpg
1922,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\4361_c6_f0084669.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\4361_c8_f0056891.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\4804_c6_f0201860.jpg,4361,4804,0.7924700975418091,0.7766479253768921,0.015822172164916992,black,gray,black,True,True,-1,1,gray,gray,gray,False,True,1,1,upper_colour|lower_colour,upper_colour,True,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\4361_c8_f0056891.jpg,False,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\4804_c6_f0201860.jpg
1927,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\4366_c8_f0057995.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\4366_c7_f0087650.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\4560_c7_f0131078.jpg,4366,4560,0.8308889865875244,0.8109510540962219,0.01993793249130249,blue,black,blue,True,True,-1,1,blue,black,blue,True,True,-1,1,upper_colour|lower_colour,upper_colour|lower_colour,False,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\4560_c7_f0131078.jpg,False,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\4560_c7_f0131078.jpg
2037,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\4547_c7_f0124133.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\4547_c6_f0121787.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\4717_c8_f0142344.jpg,4547,4717,0.8181383013725281,0.8040979504585266,0.014040350914001465,brown,gray,brown,True,True,-1,1,brown,gray,gray,True,False,-1,-1,upper_colour,upper_colour|lower_colour,True,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\4547_c6_f0121787.jpg,False,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\4717_c8_f0142344.jpg
2057,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\4573_c6_f0132783.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\4573_c7_f0134430.jpg,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\4134_c7_f0054259.jpg,4573,4134,0.776183009147644,0.7595659494400024,0.0166170597076416,brown,gray,brown,True,True,-1,1,brown,gray,brown,True,True,-1,1,upper_colour|lower_colour,upper_colour|lower_colour,False,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\4134_c7_f0054259.jpg,False,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\4134_c7_f0054259.jpg
